departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-09-29 13:05, 2025-09-29 13:41, 0, taxi, 36, walk, 00
2025-09-29 13:09, 2025-09-29 13:57, 1, walk, 03, taxi, 12
2025-09-29 13:09, 2025-09-29 14:03, 1, walk, 03, walk, 06
2025-09-29 13:10, 2025-09-29 13:46, 0, taxi, 36, walk, 00
2025-09-29 13:13, 2025-09-29 14:03, 1, taxi, 32, walk, 06
2025-09-29 13:13, 2025-09-29 14:06, 1, taxi, 32, walk, 08
2025-09-29 13:15, 2025-09-29 13:51, 0, taxi, 36, walk, 00
2025-09-29 13:16, 2025-09-29 14:03, 1, taxi, 32, walk, 06
2025-09-29 13:18, 2025-09-29 14:13, 1, taxi, 35, walk, 14
2025-09-29 13:20, 2025-09-29 13:56, 0, taxi, 36, walk, 00
2025-09-29 13:25, 2025-09-29 14:01, 0, taxi, 36, walk, 00
2025-09-29 13:30, 2025-09-29 14:06, 0, taxi, 36, walk, 00
2025-09-29 13:33, 2025-09-29 14:28, 1, taxi, 35, walk, 14
2025-09-29 13:35, 2025-09-29 14:11, 0, taxi, 36, walk, 00
2025-09-29 13:40, 2025-09-29 14:16, 0, taxi, 36, walk, 00
2025-09-29 13:45, 2025-09-29 14:21, 0, taxi, 36, walk, 00
2025-09-29 13:50, 2025-09-29 14:26, 0, taxi, 36, walk, 00
2025-09-29 13:55, 2025-09-29 14:31, 0, taxi, 36, walk, 00
2025-09-29 14:13, 2025-09-29 15:03, 1, taxi, 32, walk, 06
2025-09-29 14:13, 2025-09-29 15:06, 1, taxi, 32, walk, 08
2025-09-29 14:16, 2025-09-29 15:03, 1, taxi, 32, walk, 06
2025-09-29 14:39, 2025-09-29 15:28, 1, taxi, 35, walk, 08
2025-09-29 15:13, 2025-09-29 16:03, 1, taxi, 32, walk, 06
2025-09-29 15:13, 2025-09-29 16:06, 1, taxi, 32, walk, 08
2025-09-29 15:16, 2025-09-29 16:03, 1, taxi, 32, walk, 06
2025-09-29 15:24, 2025-09-29 16:13, 1, taxi, 35, walk, 08
2025-09-29 15:37, 2025-09-29 16:25, 1, walk, 03, taxi, 12
2025-09-29 15:37, 2025-09-29 17:03, 1, walk, 03, walk, 06
2025-09-29 15:40, 2025-09-29 16:16, 0, taxi, 36, walk, 00
2025-09-29 15:45, 2025-09-29 16:21, 0, taxi, 36, walk, 00
2025-09-29 15:50, 2025-09-29 16:26, 0, taxi, 36, walk, 00
2025-09-29 15:55, 2025-09-29 16:31, 0, taxi, 36, walk, 00
2025-09-29 16:00, 2025-09-29 16:36, 0, taxi, 36, walk, 00
2025-09-29 16:05, 2025-09-29 16:41, 0, taxi, 36, walk, 00
2025-09-29 16:10, 2025-09-29 16:46, 0, taxi, 36, walk, 00
